,Country/region,Site,Site id,Depth (m),svo (kN/m2),s¢vo (kN/m2),s¢p (kN/m2),OCR ,LL (%) ,PL (%),PI (%) ,w (%) ,LI ,qc (kN/m2),qt (kN/m2),u0 (kN/m2),u2 (kN/m2),Bq ,St,"su,CIUC/s¢v0 ","su,CIUC (kN/m2)","su,CK0UC/s¢v0 ","su,CK0UC (kN/m2)","su,DSS/s¢v0 ","su,DSS (kN/m2)","su,CIUE/s¢v0 ","su,CIUE (kN/m2)","su,CK0UE/s¢v0 ","su,CK0UE (kN/m2)","su,UU/s¢v0 ","su,UU (kN/m2)","remolded su,UU (kN/m2)","su,UC/s¢v0 ","su,UC (kN/m2)","remolded su,UC (kN/m2)","su,VST/s¢v0 ","su,VST (kN/m2)","remolded su,VST (kN/m2)",Remolded su (kN/m2),su(mob)/s¢v0 ,su(mob) (kN/m2),su_mean,type
375,England,,125.0,,,306.9165,827.64,2.696629213,,,,19.3,,,,,,,,0.516853933,158.631,,,,,,,,,,,,,,,,,,,0.327752809,100.592745,65.0170879355,
376,England,,125.0,,,206.91,827.64,4.0,,,,19.8,,,,,,,,0.653333333,135.1812,,,,,,,,,,,,,,,,,,,0.487706667,100.9113864,59.3084066,
377,England,,125.0,,,103.455,827.64,8.0,,,,20.9,,,,,,,,0.926666667,95.8683,,,,,,,,,,,,,,,,,,,0.808053333,83.5971576,45.300044400000004,
378,England,,125.0,,,68.97,827.64,12.0,,,,21.1,,,,,,,,1.0,68.97,,,,,,,,,,,,,,,,,,,0.894,61.65918,33.130795,
379,England,,125.0,,,33.7953,827.64,24.48979592,,,,22.7,,,,,,,,1.367346939,46.2099,,,,,,,,,,,,,,,,,,,1.324530612,44.7629094,23.41617173775,
380,England,,125.0,,,206.91,206.91,1.0,,,,23.0,,,,,,,,0.256666667,53.1069,,,,,,,,,,,,,,,,,,,0.154,31.86414,21.34542666675,
381,England,,125.0,,,206.91,827.64,4.0,,,,19.5,,,,,,,,0.645,133.45695,,,,,,,,,,,,,,,,,,,0.47794,98.8905654,58.36761385,
382,England,,126.0,,,206.91,206.91,1.0,,,,23.0,,,,,,,,,,,,,,0.236666667,48.9687,,,,,,,,,,,,,,,24.6026833335,
383,England,,126.0,,,413.82,413.82,1.0,,,,20.4,,,,,,,,,,,,,,0.235833333,97.59255,,,,,,,,,,,,,,,48.9141916665,
384,England,,126.0,,,827.64,827.64,1.0,,,,18.4,,,,,,,,,,,,,,0.232083333,192.08145,,,,,,,,,,,,,,,96.15676666649999,
385,England,,126.0,,,206.91,413.82,2.0,,,,21.0,,,,,,,,,,,,,,0.383333333,79.3155,,,,,,,,,,,,,,,39.8494166665,
386,England,,126.0,,,103.455,413.82,4.0,,,,22.0,,,,,,,,,,,,,,0.526666667,54.4863,,,,,,,,,,,,,,,27.5064833335,
387,England,,126.0,,,34.485,413.82,12.0,,,,23.5,,,,,,,,,,,,,,1.01,34.82985,,,,,,,,,,,,,,,17.919925,
388,England,,126.0,,,486.2385,827.64,1.70212766,,,,18.6,,,,,,,,,,,,,,0.34822695,169.32135,,,,,,,,,,,,,,,84.834788475,
